version,N,threads,time_ms
dynamic,512,1,268
cache,512,1,90
simd,512,1,19
static,512,1,3690
dynamic,512,2,319
cache,512,2,95
simd,512,2,13
static,512,2,3296
dynamic,512,4,222
cache,512,4,58
simd,512,4,17
static,512,4,1408
dynamic,512,8,215
cache,512,8,70
simd,512,8,23
static,512,8,2043
dynamic,512,16,255
cache,512,16,69
simd,512,16,12
static,512,16,2001
dynamic,1024,1,8962
cache,1024,1,822
simd,1024,1,258
static,1024,1,3818
dynamic,1024,2,3847
cache,1024,2,623
simd,1024,2,253
static,1024,2,1266
dynamic,1024,4,3093
cache,1024,4,616
simd,1024,4,148
static,1024,4,1087
dynamic,1024,8,3755
cache,1024,8,533
simd,1024,8,167
static,1024,8,1711
dynamic,1024,16,4067
cache,1024,16,386
simd,1024,16,115
static,1024,16,1374
dynamic,2048,1,178522
cache,2048,1,5871
simd,2048,1,4576
static,2048,1,2431
dynamic,2048,2,73039
cache,2048,2,3911
simd,2048,2,2402
static,2048,2,1167
dynamic,2048,4,45853
cache,2048,4,2516
simd,2048,4,2023
static,2048,4,1075
dynamic,2048,8,47339
cache,2048,8,2608
simd,2048,8,1968
static,2048,8,413
dynamic,2048,16,46750
cache,2048,16,2668
simd,2048,16,2209
static,2048,16,596
